Training started with GUI.

Episode 1/1000 | Step 1 | Action: 0 | Reward: -0.50 | Epsilon: 0.9990
Episode 1/1000 | Step 2 | Action: 2 | Reward: -1.00 | Epsilon: 0.9980
Episode 1/1000 | Step 3 | Action: 2 | Reward: -1.00 | Epsilon: 0.9970
Episode 1/1000 | Step 4 | Action: 0 | Reward: -1.50 | Epsilon: 0.9960
Episode 1/1000 | Step 5 | Action: 0 | Reward: -1.50 | Epsilon: 0.9950
Episode 1/1000 | Step 6 | Action: 0 | Reward: -2.00 | Epsilon: 0.9940
Episode 1/1000 | Step 7 | Action: 0 | Reward: -2.00 | Epsilon: 0.9930
Episode 1/1000 | Step 8 | Action: 0 | Reward: -2.50 | Epsilon: 0.9920
Episode 1/1000 | Step 9 | Action: 2 | Reward: -4.50 | Epsilon: 0.9910
Episode 1/1000 | Step 10 | Action: 0 | Reward: -3.00 | Epsilon: 0.9900
Episode 1/1000 | Step 11 | Action: 2 | Reward: -5.00 | Epsilon: 0.9891
Episode 1/1000 | Step 12 | Action: 0 | Reward: -3.00 | Epsilon: 0.9881
Episode 1/1000 | Step 13 | Action: 0 | Reward: -3.00 | Epsilon: 0.9871
Episode 1/1000 | Step 14 | Action: 0 | Reward: -3.00 | Epsilon: 0.9861
Episode 1/1000 | Step 15 | Action: 0 | Reward: -2.50 | Epsilon: 0.9851
Episode 1/1000 | Step 16 | Action: 0 | Reward: -2.50 | Epsilon: 0.9841
Episode 1/1000 | Step 17 | Action: 2 | Reward: -4.50 | Epsilon: 0.9831
Episode 1/1000 | Step 18 | Action: 2 | Reward: -4.50 | Epsilon: 0.9822
Episode 1/1000 | Step 19 | Action: 0 | Reward: -2.00 | Epsilon: 0.9812
Episode 1/1000 | Step 20 | Action: 2 | Reward: -5.00 | Epsilon: 0.9802
Episode 1/1000 | Step 21 | Action: 2 | Reward: -6.00 | Epsilon: 0.9792
Episode 1/1000 | Step 22 | Action: 2 | Reward: -8.00 | Epsilon: 0.9782
Episode 1/1000 | Step 23 | Action: 2 | Reward: -10.00 | Epsilon: 0.9773
Episode 1/1000 | Step 24 | Action: 2 | Reward: -13.00 | Epsilon: 0.9763
Episode 1/1000 | Step 25 | Action: 0 | Reward: -12.00 | Epsilon: 0.9753
Episode 1/1000 | Step 26 | Action: 0 | Reward: -13.50 | Epsilon: 0.9743
Episode 1/1000 | Step 27 | Action: 2 | Reward: -18.50 | Epsilon: 0.9733
Episode 1/1000 | Step 28 | Action: 2 | Reward: -21.50 | Epsilon: 0.9724
